Covariate,Source,Collection,TimeSeries,Provider,Long Name,Version,DOI,Spatial resolution (m),Temporal resolution,Temporal resolution unit,Spatial Coverage,URL metadata,URL programmatic download,URL manual download,Citation,Rfunction_getData,Rfunction_processData
Temperature,MOD11A1.v006,MODIS,TRUE,NASA,MODIS/Terra Land Surface Temperature/Emissivity Daily L3 Global 1km SIN Grid V006,6,https://dx.doi.org/10.5067/MODIS/MOD11A1.006,1000,1,day,Global,https://lpdaac.usgs.gov/products/mod11a1v006/,https://opendap.cr.usgs.gov/opendap/hyrax/MOD11A1.006/contents.html,https://search.earthdata.nasa.gov/search?q=MOD11A1&ok=MOD11A1,"Wan, Z., Hook, S., Hulley, G. (2015). MOD11A1 MODIS/Terra Land Surface Temperature/Emissivity Daily L3 Global 1km SIN Grid V006 [Data set]. NASA EOSDIS Land Processes DAAC. doi: 10.5067/MODIS/MOD11A1.006",getData_modis,prepareData_modis
Temperature,MYD11A1.v006,MODIS,TRUE,NASA,MODIS/Aqua Land Surface Temperature/Emissivity Daily L3 Global 1km SIN Grid V006,6,https://dx.doi.org/10.5067/MODIS/MYD11A1.006,1000,1,day,Global,https://lpdaac.usgs.gov/products/myd11a1v006/,https://opendap.cr.usgs.gov/opendap/hyrax/MYD11A1.006/contents.html,https://search.earthdata.nasa.gov/search?q=MYD11A1&ok=MYD11A1,"Wan, Z., Hook, S., Hulley, G. (2015). MYD11A1 MODIS/Aqua Land Surface Temperature/Emissivity Daily L3 Global 1km SIN Grid V006 [Data set]. NASA EOSDIS Land Processes DAAC. doi: 10.5067/MODIS/MYD11A1.006",getData_modis,prepareData_modis
Vegetation indices,MOD13Q1.v006,MODIS,TRUE,NASA,MODIS/Terra Vegetation Indices 16-Day L3 Global 250m SIN Grid V006,6,https://dx.doi.org/10.5067/MODIS/MOD13Q1.006,250,16,day,Global,https://lpdaac.usgs.gov/products/mod13q1v006/,https://opendap.cr.usgs.gov/opendap/hyrax/MOD13Q1.006/contents.html,https://search.earthdata.nasa.gov/search?q=MOD13Q1&ok=MOD13Q1,"Didan, K. (2015). MOD13Q1 MODIS/Terra Vegetation Indices 16-Day L3 Global 250m SIN Grid V006 [Data set]. NASA EOSDIS Land Processes DAAC. doi: 10.5067/MODIS/MOD13Q1.006",getData_modis,prepareData_modis
Vegetation indices,MYD13Q1.v006,MODIS,TRUE,NASA,MODIS/Aqua Vegetation Indices 16-Day L3 Global 250m SIN Grid V006,6,https://dx.doi.org/10.5067/MODIS/MYD13Q1.006,250,16,day,Global,https://lpdaac.usgs.gov/products/myd13q1v006/,https://opendap.cr.usgs.gov/opendap/hyrax/MYD13Q1.006/contents.html,https://search.earthdata.nasa.gov/search?q=MYD13Q1&ok=MYD13Q1,"Didan, K. (2015). MYD13Q1 MODIS/Aqua Vegetation Indices 16-Day L3 Global 250m SIN Grid V006 [Data set]. NASA EOSDIS Land Processes DAAC. doi: 10.5067/MODIS/MYD13Q1.006",getData_modis,prepareData_modis
Evapotranspiration,MOD16A2.v006,MODIS,TRUE,NASA,MODIS/Terra Net Evapotranspiration 8-Day L4 Global 500m SIN Grid V006,6,https://dx.doi.org/10.5067/MODIS/MOD16A2.006,500,8,day,Global,https://lpdaac.usgs.gov/products/mod16a2v006/,https://opendap.cr.usgs.gov/opendap/hyrax/MOD16A2.006/contents.html,https://search.earthdata.nasa.gov/search?q=MOD16A2&ok=MOD16A2,"Running, S., Mu, Q., Zhao, M. (2017). MOD16A2 MODIS/Terra Net Evapotranspiration 8-Day L4 Global 500m SIN Grid V006 [Data set]. NASA EOSDIS Land Processes DAAC. doi: 10.5067/MODIS/MOD16A2.006",getData_modis,prepareData_modis
Evapotranspiration,MYD16A2.v006,MODIS,TRUE,NASA,MODIS/Aqua Net Evapotranspiration 8-Day L4 Global 500m SIN Grid V006,6,https://dx.doi.org/10.5067/MODIS/MYD16A2.006,500,8,day,Global,https://lpdaac.usgs.gov/products/myd16a2v006/,https://opendap.cr.usgs.gov/opendap/hyrax/MYD16A2.006/contents.html,https://search.earthdata.nasa.gov/search?q=MYD16A2&ok=MYD16A2,"Running, S., Mu, Q., Zhao, M. (2017). MYD16A2 MODIS/Aqua Net Evapotranspiration 8-Day L4 Global 500m SIN Grid V006 [Data set]. NASA EOSDIS Land Processes DAAC. doi: 10.5067/MODIS/MYD16A2.006",getData_modis,prepareData_modis
Rainfall,GPM_3IMERGDF,GPM,TRUE,NASA,GPM IMERG Final Precipitation L3 1 day 0.1 degree x 0.1 degree V06,6,https://doi.org/10.5067/GPM/IMERGDF/DAY/06,10000,1,day,Global,https://disc.gsfc.nasa.gov/datasets/GPM_3IMERGDF_06/summary,https://gpm1.gesdisc.eosdis.nasa.gov/opendap/GPM_L3/GPM_3IMERGDF.06/,https://search.earthdata.nasa.gov/search?q=GPM_3IMERGDF_06,"Huffman, G.J., E.F. Stocker, D.T. Bolvin, E.J. Nelkin, Jackson Tan (2019), GPM IMERG Final Precipitation L3 1 day 0.1 degree x 0.1 degree V06, Edited by Andrey Savtchenko, Greenbelt, MD, Goddard Earth Sciences Data and Information Services Center (GES DISC), Accessed: [Data Access Date], 10.5067/GPM/IMERGDF/DAY/06",getData_gpm,prepareData_gpm
Rainfall,TAMSAT,TAMSAT,TRUE,TAMSAT,Tropical Applications of Meteorology using SATellite data and ground-based observations,3,http://doi.org/10.1038/sdata.2017.63,4000,1,day,Africa,https://www.tamsat.org.uk/about,https://www.tamsat.org.uk/data/archive,https://www.tamsat.org.uk/data/rfe/index.cgi,"Tarnavsky, E., D. Grimes, R. Maidment, E. Black, R. Allan, M. Stringer, R. Chadwick, F. Kayitakire (2014) Extension of the TAMSAT Satellite-based Rainfall Monitoring over Africa and from 1983 to present Journal of Applied Meteorology and Climate DOI 10.1175/JAMC-D-14-0016.1
Maidment, R., D. Grimes, R.P.Allan, E. Tarnavsky, M. Stringer, T. Hewison, R. Roebeling and E. Black (2014) The 30 year TAMSAT African Rainfall Climatology And Time series (TARCAT) data set Journal of Geophysical Research DOI: 10.1002/2014JD021927

",getData_tamsat,prepareData_tamsat
Rainfall - Night of catch,GPM_3IMERGHH,GPM,TRUE,NASA,GPM IMERG Final Precipitation L3 Half Hourly 0.1 degree x 0.1 degree V06,6,https://doi.org/10.5067/GPM/IMERG/3B-HH/06,10000,30,minute,Global,https://disc.gsfc.nasa.gov/datasets/GPM_3IMERGHH_06/summary,https://gpm1.gesdisc.eosdis.nasa.gov/opendap/GPM_L3/GPM_3IMERGHH.06/,,"Huffman, G.J., E.F. Stocker, D.T. Bolvin, E.J. Nelkin, Jackson Tan (2019), GPM IMERG Final Precipitation L3 Half Hourly 0.1 degree x 0.1 degree V06, Greenbelt, MD, Goddard Earth Sciences Data and Information Services Center (GES DISC), Accessed: [Data Access Date], 10.5067/GPM/IMERG/3B-HH/06",getData_gpm,prepareData_gpm
Wind - Night of catch,ERA5,ERA5,TRUE,Copenicus,ERA5,5,,27000,1,hour,Global,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels?tab=overview,https://dominicroye.github.io/en/2018/access-to-climate-reanalysis-data-from-r/,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels?tab=form,"Copernicus Climate Change Service (C3S) (2017): ERA5: Fifth generation of ECMWF atmospheric reanalyses of the global climate . Copernicus Climate Change Service Climate Data Store (CDS), date of access. https://cds.climate.copernicus.eu/cdsapp#!/home",getData_era5,
Apparent magnitude of the Moon - Night of catch,MIRIADE,MIRIADE,TRUE,IMCCE,The Virtual Observatory Solar System Object Ephemeris Generator,2,,NA,NA,NA,Global,http://vo.imcce.fr/webservices/miriade/,http://vo.imcce.fr/webservices/miriade/?ephemcc,http://vo.imcce.fr/webservices/miriade/?forms,This research has made use of IMCCE's Miriade VO tool,getData_miriade,
Nighttime lights - Night of catch,VIIRS DNB,VIIRS DNB,TRUE,NOAA,Visible Infrared Imaging Radiometer Suite (VIIRS) Day/Night Band (DNB),,,450,1,month,Global,https://ngdc.noaa.gov/eog/viirs/download_dnb_composites.html,https://gis.ngdc.noaa.gov/arcgis/rest/services/NPP_VIIRS_DNB/Monthly_AvgRadiance/ImageServer/,https://ngdc.noaa.gov/eog/viirs/download_dnb_composites.html,,getData_viirsdnb,
Elevation and elevation derivatives,SRTMGL1_v003,SRTMGL1_v004,FALSE,NASA,NASA Shuttle Radar Topography Mission Global 1 arc second,3,https://dx.doi.org/10.5067/MEASURES/SRTM/SRTMGL1.003,30,NA,NA,Global,https://lpdaac.usgs.gov/products/srtmgl1v003/,https://e4ftl01.cr.usgs.gov/MEASURES/SRTMGL1.003/2000.02.11/,https://search.earthdata.nasa.gov/search/collection-details?p=C1000000240-LPDAAC_ECS&q=SRTM&ok=SRTM,NASA JPL (2013). NASA Shuttle Radar Topography Mission Global 1 arc second [Data set]. NASA EOSDIS Land Processes DAAC. doi: 10.5067/MEaSUREs/SRTM/SRTMGL1.003,getData_srtm,
Land cover,CGLS-LC100,CGLS-LC101,FALSE,Copernicus Global Land Operations,Moderate dynamic land cover 100m,2,,100,1,year,Global,https://land.copernicus.eu/global/products/lc,NA,https://lcviewer.vito.be/download,,getData_cgls,
Population,HRSL,HRSL,FALSE,Facebook Connectivity Lab and Center for International Earth Science Information Network,High Resolution Settlement Layer,1,,30,NA,NA,Available for some countries : see list here : https://ciesin.columbia.edu/repository/hrsl/#data,https://ciesin.columbia.edu/repository/hrsl/#over,NA,https://ciesin.columbia.edu/repository/hrsl/#data,Facebook Connectivity Lab and Center for International Earth Science Information Network - CIESIN - Columbia University. 2016. High Resolution Settlement Layer (HRSL). Source imagery for HRSL © 2016 DigitalGlobe. Accessed DAY MONTH YEAR.,getData_hrsl,
Population,WorldPop_100m_Population,WorldPop_100m_Population,FALSE,WorldPop,"Alpha version 2014 estimates of numbers of people per grid square, with national totals adjusted to match UN population division estimates",3,"10.5258/SOTON/WP00033
10.5258/SOTON/WP00065",100,NA,NA,"Africa, Asia, South America, Oceania",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0107042,NA,https://www.worldpop.org/geodata/listing?id=16,"WorldPop (www.worldpop.org - School of Geography and Environmental Science, University of Southampton). 2013. Burkina Faso 100m Population. Alpha version 2010 and 2014 estimates of numbers of people per grid square, with national totals adjusted to match UN population division estimates (http://esa.un.org/wpp/). DOI: 10.5258/SOTON/WP00033",getData_worldpop,
Built-up area,HRSL,HRSL,FALSE,Facebook Connectivity Lab and Center for International Earth Science Information Network,High Resolution Settlement Layer,1,,30,NA,NA,Available for some countries : see list here : https://ciesin.columbia.edu/repository/hrsl/#data,https://ciesin.columbia.edu/repository/hrsl/#over,NA,https://ciesin.columbia.edu/repository/hrsl/#data,Facebook Connectivity Lab and Center for International Earth Science Information Network - CIESIN - Columbia University. 2016. High Resolution Settlement Layer (HRSL). Source imagery for HRSL © 2016 DigitalGlobe. Accessed DAY MONTH YEAR.,getData_hrsl,
